,Unnamed: 0,underlying,type,expiration,quotedate,strike,bid,ask,volume,bs,garch,gp
103,103,SPXW,call,2019-10-14,2019-10-02,2980.0,3.4,3.8,234,5.014388492332671,3.7200598958955102,5.300631269835592
104,104,SPXW,put,2019-10-14,2019-10-02,2980.0,97.5,103.6,43,95.68731613954652,95.17780164021339,95.1889917892412
105,105,SPXW,call,2019-10-14,2019-10-02,2985.0,2.9,3.2,25,4.425707528513499,2.1554197006454676,4.8006772935693816
106,106,SPXW,put,2019-10-14,2019-10-02,2985.0,102.0,108.1,4,100.09575436208434,97.6756844564033,100.04657307684342
107,107,SPXW,call,2019-10-14,2019-10-02,2990.0,2.4,2.6,48,3.895827493611364,1.7573713724147009,3.9862253442543727
108,108,SPXW,put,2019-10-14,2019-10-02,2990.0,106.5,112.0,8,104.56299351354028,99.6176661156555,105.41387252593204
109,109,SPXW,call,2019-10-14,2019-10-02,2995.0,1.95,2.15,110,3.420294949275558,2.3575945954197346,3.316609826155278
110,110,SPXW,put,2019-10-14,2019-10-02,2995.0,111.0,117.2,21,109.08458015556198,106.95474848061987,109.39439509492928
111,111,SPXW,call,2019-10-14,2019-10-02,3000.0,1.6,1.8,566,2.994809414947042,2.049513791963647,2.8501415661602945
112,112,SPXW,put,2019-10-14,2019-10-02,3000.0,115.7,121.8,11,113.65621380759058,113.82096014000136,113.07077084115517
113,113,SPXW,call,2019-10-14,2019-10-02,3005.0,1.35,1.5,33,2.6152424322984302,1.3836234199452457,2.842513547958208
114,114,SPXW,call,2019-10-14,2019-10-02,3010.0,1.1,1.25,78,2.2776530545413607,1.1970311184871503,2.663337943006524
115,115,SPXW,put,2019-10-14,2019-10-02,3010.0,125.2,131.3,9,122.9332958199002,123.72118786967563,123.40637910462108
116,116,SPXW,call,2019-10-14,2019-10-02,3015.0,0.9,1.1,83,1.9782998599269772,1.7686245113337489,2.0770196917898804
117,117,SPXW,put,2019-10-14,2019-10-02,3015.0,130.0,136.1,7,127.63106181164358,126.52387826577747,127.93316734433049
118,118,SPXW,call,2019-10-14,2019-10-02,3020.0,0.75,0.9,252,1.7136496429668,0.9206729123483468,1.9723596215332864
119,119,SPXW,put,2019-10-14,2019-10-02,3020.0,134.8,140.9,7,132.36353078104094,134.98164569946354,134.20716384924972
120,120,SPXW,call,2019-10-14,2019-10-02,3025.0,0.65,0.8,36,1.48038298236051,1.0091876850142543,1.4654922327840616
121,121,SPXW,call,2019-10-14,2019-10-02,3030.0,0.55,0.7,38,1.275396921090021,0.7715050429493097,1.482339786801846
122,122,SPXW,call,2019-10-14,2019-10-02,3035.0,0.45,0.6,85,1.0958050216207198,0.33280095644497665,1.3209463271813953
123,123,SPXW,call,2019-10-14,2019-10-02,3040.0,0.35,0.55,300,0.9389350779884608,0.8230840947062935,1.0861728262916972
124,124,SPXW,call,2019-10-14,2019-10-02,3045.0,0.3,0.45,41,0.8023247771740785,0.5396704278486417,0.9034159534477216
125,125,SPXW,call,2019-10-14,2019-10-02,3050.0,0.25,0.4,512,0.6837156053210549,0.46430542664652413,0.7902110850714502
126,126,SPXW,call,2019-10-14,2019-10-02,3055.0,0.2,0.35,34,0.5810452908168031,0.237187395969755,0.7048596879516573
127,127,SPXW,call,2019-10-14,2019-10-02,3060.0,0.2,0.35,12,0.4924390669265648,0.19698252306069297,0.631726107830941
128,128,SPXW,call,2019-10-14,2019-10-02,3065.0,0.15,0.3,3,0.4162000225300915,0.09780060385551266,0.5959384843090204
129,129,SPXW,put,2019-10-14,2019-10-02,3065.0,175.7,185.3,3,176.0401538378219,173.67785326190452,177.08557934475266
130,130,SPXW,call,2019-10-14,2019-10-02,3070.0,0.1,0.25,1696,0.3507987914931618,0.34930066685324834,0.3857745340961611
131,131,SPXW,call,2019-10-14,2019-10-02,3075.0,0.1,0.25,3,0.2948628102824742,0.47268316375699526,0.4369967303296628
132,132,SPXW,call,2019-10-14,2019-10-02,3080.0,0.1,0.25,10,0.2471653504853215,0.09817342293353021,0.2782478315286185
133,133,SPXW,call,2019-10-14,2019-10-02,3085.0,0.05,0.2,5,0.2066145087803015,0.21469635144164145,0.2037075151025941
134,134,SPXW,put,2019-10-14,2019-10-02,3085.0,195.6,205.2,3,195.81904506950195,200.2207930038872,196.2888284341641
135,135,SPXW,call,2019-10-14,2019-10-02,3120.0,0.05,0.15,6,0.0545718349553041,0.0347130125954464,0.1176116659717614
136,136,SPXW,put,2019-10-14,2019-10-02,3170.0,279.7,292.7,1,280.569916086848,281.6697070200116,280.0620126544338
137,137,SPXW,call,2019-10-16,2019-10-02,2000.0,875.6,889.7,3,888.9544225629038,887.4419095070896,888.5473875839967
138,138,SPXW,put,2019-10-16,2019-10-02,2300.0,0.1,0.2,35,2.1643049431500374e-13,0.0,0.0
139,139,SPXW,call,2019-10-16,2019-10-02,2400.0,476.2,490.3,1,489.2232855923862,485.72139651963573,487.8351347562776
140,140,SPXW,put,2019-10-16,2019-10-02,2400.0,0.25,0.35,62,1.2762787800131263e-09,0.0,0.0
141,141,SPXW,put,2019-10-16,2019-10-02,2450.0,0.4,0.55,200,1.0978723680958993e-07,0.0,0.0
